name,market,asset_type,status,capacity_mw,latitude,longitude,county,state,interconnection_node,pricing_hub_node,estimated_lcoe,offtake_price_mwh,overall_score,price_score,location_score,curtailment_score,interconnection_score,regulatory_score,financial_score,environmental_score,grid_stability_score,demand_proximity_score,development_risk_score
Crete Energy Venture LLC,PJM,natural_gas,active,356.00,41.429444,-87.618700,Will,IL,WESTERN HUB,WESTERN HUB,,,65.19,52.78,58.00,88.00,70.00,50.00,86.52,12.00,50.00,77.58,42.00
Bowling Green Generating Station,PJM,natural_gas,active,49.50,41.397369,-83.641236,Wood,OH,WESTERN HUB,WESTERN HUB,,,61.98,52.78,58.00,88.00,70.00,50.00,71.57,12.00,50.00,59.92,42.00
Galion Generating Station,PJM,natural_gas,active,49.50,40.716700,-82.789000,Crawford,OH,WESTERN HUB,WESTERN HUB,,,61.98,52.78,58.00,88.00,70.00,50.00,71.57,12.00,50.00,59.92,42.00
Napoleon Peaking Station,PJM,natural_gas,active,49.50,41.407900,-84.109500,Henry,OH,WESTERN HUB,WESTERN HUB,,,61.98,52.78,58.00,88.00,70.00,50.00,71.57,12.00,50.00,59.92,42.00
Ceredo Generating Station,PJM,natural_gas,active,519.00,38.368100,-82.533900,Wayne,WV,WESTERN HUB,WESTERN HUB,,,65.80,52.78,58.00,88.00,70.00,50.00,89.37,12.00,50.00,80.95,42.00
Aurora,PJM,natural_gas,active,1086.20,41.815100,-88.226500,DuPage,IL,WESTERN HUB,WESTERN HUB,,,67.00,52.78,58.00,88.00,70.00,50.00,94.97,12.00,50.00,87.56,42.00
Big Sandy Peaker Plant,PJM,natural_gas,active,353.40,38.344100,-82.593800,Wayne,WV,WESTERN HUB,WESTERN HUB,,,65.18,52.78,58.00,88.00,70.00,50.00,86.46,12.00,50.00,77.51,42.00
Wolf Hills Energy,PJM,natural_gas,active,285.00,36.664400,-82.104400,Washington,VA,WESTERN HUB,WESTERN HUB,,,64.83,52.78,58.00,88.00,70.00,50.00,84.83,12.00,50.00,75.58,42.00
Blythe Energy Inc,CAISO,natural_gas,active,591.00,33.615700,-114.686500,Riverside,CA,SP15,SP15,,,59.47,46.27,49.21,93.33,47.43,50.00,88.77,12.00,50.00,82.11,25.00
Calumet Energy Team LLC,PJM,natural_gas,active,312.80,41.683500,-87.556300,Cook,IL,WESTERN HUB,WESTERN HUB,,,64.98,52.78,58.00,88.00,70.00,50.00,85.54,12.00,50.00,76.42,42.00
New Covert Generating Facility,PJM,natural_gas,active,1176.00,42.322380,-86.293680,Van Buren,MI,WESTERN HUB,WESTERN HUB,,,67.06,52.78,58.00,88.00,70.00,50.00,95.00,12.00,50.00,88.27,42.00
Fairless Energy Center,PJM,natural_gas,active,1338.00,40.147500,-74.741100,Bucks,PA,WESTERN HUB,WESTERN HUB,,,67.15,52.78,58.00,88.00,70.00,50.00,95.00,12.00,50.00,89.42,42.00
Channel Energy Center LLC,ERCOT,natural_gas,active,923.80,29.718900,-95.231900,Harris,TX,LZ_HOUSTON,LZ_HOUSTON,,,74.09,57.97,77.77,97.81,83.72,50.00,93.51,12.00,50.00,86.11,44.52
BASF Freeport Works,ERCOT,natural_gas,active,81.00,29.002000,-95.394000,Brazoria,TX,LZ_CPS,LZ_CPS,,,63.62,54.89,62.81,98.00,69.05,50.00,74.66,12.00,50.00,64.33,25.00
Ingleside Cogeneration,ERCOT,natural_gas,active,517.00,27.882778,-97.242778,San Patricio,TX,LZ_AEN,LZ_AEN,,,67.78,54.94,61.81,98.00,68.85,50.00,88.71,12.00,50.00,80.91,37.85
Wise County Power LLC,ERCOT,natural_gas,active,821.70,33.058300,-97.910300,Wise,TX,LZ_CPS,LZ_CPS,,,67.38,54.89,62.81,98.00,69.05,50.00,92.21,12.00,50.00,85.06,25.00
Baytown Energy Center,ERCOT,natural_gas,active,932.90,29.773100,-94.901900,Chambers,TX,LZ_HOUSTON,LZ_HOUSTON,,,74.11,57.97,77.77,97.81,83.72,50.00,93.58,12.00,50.00,86.20,44.52
Delta Energy Center,CAISO,natural_gas,active,943.50,38.016900,-121.843900,Contra Costa,CA,NP15,NP15,,,70.47,56.28,57.15,95.62,72.61,50.00,93.79,12.00,50.00,86.30,56.22
Ironwood LLC,PJM,natural_gas,active,777.60,40.350900,-76.365800,Lebanon,PA,WESTERN HUB,WESTERN HUB,,,66.46,52.78,58.00,88.00,70.00,50.00,92.44,12.00,50.00,84.57,42.00
Phoenix Wind Power LLC,CAISO,wind,active,2.10,33.916667,-116.550000,Riverside,CA,SP15,SP15,,,46.28,37.94,49.21,78.49,33.43,50.00,40.44,70.47,50.00,31.64,25.00
Otay Mesa Generating Project,CAISO,natural_gas,active,710.70,32.581481,-116.914969,San Diego,CA,SP15,SP15,,,59.77,46.27,49.21,93.33,47.43,50.00,90.16,12.00,50.00,83.76,25.00
Armstrong,PJM,natural_gas,active,688.00,40.638021,-79.351725,Armstrong,PA,WESTERN HUB,WESTERN HUB,,,66.26,52.78,58.00,88.00,70.00,50.00,91.51,12.00,50.00,83.47,42.00
Troy Energy LLC,PJM,natural_gas,active,795.60,41.477240,-83.459830,Wood,OH,WESTERN HUB,WESTERN HUB,,,66.50,52.78,58.00,88.00,70.00,50.00,92.61,12.00,50.00,84.77,42.00
Pleasants Energy LLC,PJM,natural_gas,active,382.80,39.332500,-81.364200,Pleasants,WV,WESTERN HUB,WESTERN HUB,,,65.31,52.78,58.00,88.00,70.00,50.00,87.07,12.00,50.00,78.22,42.00
Dresden Energy Facility,PJM,natural_gas,active,678.30,40.092800,-82.027600,Muskingum,OH,WESTERN HUB,WESTERN HUB,,,66.24,52.78,58.00,88.00,70.00,50.00,91.40,12.00,50.00,83.34,42.00
Exelon LaPorte Generating Station,ERCOT,natural_gas,active,236.00,29.702800,-95.071800,Harris,TX,LZ_HOUSTON,LZ_HOUSTON,,,71.88,57.97,77.77,97.81,83.72,50.00,83.17,12.00,50.00,73.90,44.52
"Green Mountain Storage, LLC",PJM,storage,active,10.40,39.851389,-79.070556,Somerset,PA,WESTERN HUB,WESTERN HUB,,,58.51,62.28,58.00,80.00,68.00,50.00,52.15,12.00,50.00,45.96,42.00
Gans,PJM,natural_gas,active,87.60,39.747500,-79.838888,FAYETTE,PA,WESTERN HUB,WESTERN HUB,,,62.91,52.78,58.00,88.00,70.00,50.00,75.90,12.00,50.00,65.03,42.00
Zion Energy Center,PJM,natural_gas,active,596.70,42.477600,-87.895000,Lake,IL,WESTERN HUB,WESTERN HUB,,,66.03,52.78,58.00,88.00,70.00,50.00,90.43,12.00,50.00,82.20,42.00
Metcalf Energy Center,CAISO,natural_gas,active,635.00,37.220700,-121.745700,Santa Clara,CA,NP15,NP15,,,69.83,56.28,57.15,95.62,72.61,50.00,90.79,12.00,50.00,82.75,56.22
Washington Energy Facility,PJM,natural_gas,active,714.90,39.580000,-81.656400,Washington,OH,WESTERN HUB,WESTERN HUB,,,66.32,52.78,58.00,88.00,70.00,50.00,91.80,12.00,50.00,83.81,42.00
Elk Hills Power LLC,CAISO,natural_gas,active,623.00,35.280318,-119.470707,Kern,CA,NP15,NP15,,,69.80,56.28,57.15,95.62,72.61,50.00,90.65,12.00,50.00,82.58,56.22
Rolling Hills Generating,PJM,natural_gas,active,977.50,39.083900,-82.332800,Vinton,OH,WESTERN HUB,WESTERN HUB,,,66.83,52.78,58.00,88.00,70.00,50.00,94.17,12.00,50.00,86.61,42.00
MRP Elgin LLC,PJM,natural_gas,active,540.00,42.000061,-88.244572,Cook,IL,WESTERN HUB,WESTERN HUB,,,65.86,52.78,58.00,88.00,70.00,50.00,89.67,12.00,50.00,81.30,42.00
Tenaska Virginia Generating Station,PJM,natural_gas,active,1011.40,37.866700,-78.381300,Fluvanna,VA,WESTERN HUB,WESTERN HUB,,,66.89,52.78,58.00,88.00,70.00,50.00,94.43,12.00,50.00,86.92,42.00
Indeck Niles Energy Center,PJM,natural_gas,active,1174.40,41.862114,-86.221394,Cass,MI,WESTERN HUB,WESTERN HUB,,,67.06,52.78,58.00,88.00,70.00,50.00,95.00,12.00,50.00,88.26,42.00
Deer Park Energy Center,ERCOT,natural_gas,active,1176.00,29.713414,-95.134508,Harris,TX,LZ_HOUSTON,LZ_HOUSTON,,,74.44,57.97,77.77,97.81,83.72,50.00,95.00,12.00,50.00,88.27,44.52
Green Power 2,ERCOT,natural_gas,active,861.00,29.378097,-94.932773,Galveston,TX,LZ_CPS,LZ_CPS,,,67.46,54.89,62.81,98.00,69.05,50.00,92.56,12.00,50.00,85.48,25.00
Forney Energy Center,ERCOT,natural_gas,active,1894.20,32.756300,-96.491600,Kaufman,TX,LZ_WEST,LZ_WEST,,,68.47,51.99,73.94,95.52,64.39,50.00,95.00,12.00,50.00,92.53,29.86
CalPeak Power Vaca Dixon Peaker Plant,CAISO,natural_gas,active,60.50,38.398867,-121.923973,Solano,CA,NP15,NP15,,,66.01,56.28,57.15,95.62,72.61,50.00,72.98,12.00,50.00,61.71,56.22
Kiamichi Energy Facility,ERCOT,natural_gas,active,1370.00,34.683100,-95.934900,Pittsburg,OK,LZ_HOUSTON,LZ_HOUSTON,,,74.55,57.97,77.77,97.81,83.72,50.00,95.00,12.00,50.00,89.64,44.52
"Lawrenceburg Power, LLC",PJM,natural_gas,active,1232.00,39.091100,-84.866900,Dearborn,IN,WESTERN HUB,WESTERN HUB,,,67.10,52.78,58.00,88.00,70.00,50.00,95.00,12.00,50.00,88.69,42.00
"Waterford Power, LLC",PJM,natural_gas,active,921.60,39.533300,-81.717800,Washington,OH,WESTERN HUB,WESTERN HUB,,,66.73,52.78,58.00,88.00,70.00,50.00,93.72,12.00,50.00,86.09,42.00
CalPeak Power Panoche Peaker Plant,CAISO,natural_gas,active,60.50,36.652905,-120.580609,Fresno,CA,NP15,NP15,,,66.01,56.28,57.15,95.62,72.61,50.00,72.98,12.00,50.00,61.71,56.22
Border Hybrid Energy Center,CAISO,natural_gas,active,60.50,32.562448,-116.943869,San Diego,CA,SP15,SP15,,,55.76,46.27,49.21,93.33,47.43,50.00,71.50,12.00,50.00,61.71,25.00
Cuyamaca Peak Energy Plant,CAISO,natural_gas,active,48.70,32.796491,-116.972071,San Diego,CA,SP15,SP15,,,55.41,46.27,49.21,93.33,47.43,50.00,69.86,12.00,50.00,59.77,25.00
CalPeak Power Enterprise Peaker Plant,CAISO,natural_gas,active,58.90,33.121943,-117.117441,San Diego,CA,SP15,SP15,,,55.72,46.27,49.21,93.33,47.43,50.00,71.30,12.00,50.00,61.48,25.00
Fayette Energy Facility,PJM,natural_gas,active,714.90,39.859200,-79.918200,Fayette,PA,WESTERN HUB,WESTERN HUB,,,66.32,52.78,58.00,88.00,70.00,50.00,91.80,12.00,50.00,83.81,42.00
High Desert Power Plant,CAISO,natural_gas,active,960.00,34.595300,-117.364700,San Bernardino,CA,SP15,SP15,,,60.26,46.27,49.21,93.33,47.43,50.00,92.44,12.00,50.00,86.45,25.00
York Energy Center,PJM,natural_gas,active,1449.40,39.737500,-76.306666,York,PA,WESTERN HUB,WESTERN HUB,,,67.21,52.78,58.00,88.00,70.00,50.00,95.00,12.00,50.00,90.14,42.00
Escondido Energy Center,CAISO,natural_gas,active,54.00,33.126100,-117.117200,San Diego,CA,SP15,SP15,,,55.58,46.27,49.21,93.33,47.43,50.00,70.64,12.00,50.00,60.70,25.00
Chula Vista Energy Center,CAISO,natural_gas,active,37.20,32.591667,-117.058611,San Diego,CA,SP15,SP15,,,54.97,46.27,49.21,93.33,47.43,50.00,67.82,12.00,50.00,57.36,25.00
Indigo Energy Facility,CAISO,natural_gas,active,149.70,33.910873,-116.552994,Riverside,CA,SP15,SP15,,,57.24,46.27,49.21,93.33,47.43,50.00,78.36,12.00,50.00,69.82,25.00
Larkspur Energy Facility,CAISO,natural_gas,active,99.80,32.567041,-116.944197,San Diego,CA,SP15,SP15,,,56.58,46.27,49.21,93.33,47.43,50.00,75.29,12.00,50.00,66.19,25.00
Hidalgo Energy Center,ERCOT,natural_gas,active,551.30,26.341720,-98.175759,Hidalgo,TX,LZ_HOUSTON,LZ_HOUSTON,,,73.25,57.97,77.77,97.81,83.72,50.00,89.60,12.00,50.00,81.49,44.52
King Mountain Wind Ranch 1,ERCOT,wind,active,278.00,31.209200,-102.241700,Upton,TX,LZ_AEN,LZ_AEN,,,65.16,45.05,61.81,95.69,51.85,50.00,79.43,85.81,50.00,75.36,37.85
Creed Energy Center,CAISO,natural_gas,active,48.00,38.242158,-121.854722,Solano,CA,NP15,NP15,,,65.63,56.28,57.15,95.62,72.61,50.00,71.23,12.00,50.00,59.64,56.22
Lambie Energy Center,CAISO,natural_gas,active,47.00,38.221577,-121.868333,Solano,CA,NP15,NP15,,,65.60,56.28,57.15,95.62,72.61,50.00,71.07,12.00,50.00,59.46,56.22
Goose Haven Energy Center,CAISO,natural_gas,active,48.00,38.226752,-121.843271,Solano,CA,NP15,NP15,,,65.63,56.28,57.15,95.62,72.61,50.00,71.23,12.00,50.00,59.64,56.22
University Park North,PJM,natural_gas,active,726.00,41.442500,-87.751400,Will,IL,WESTERN HUB,WESTERN HUB,,,66.35,52.78,58.00,88.00,70.00,50.00,91.92,12.00,50.00,83.95,42.00
Chambersburg,PJM,natural_gas,active,87.60,39.866944,-77.685833,Franklin,PA,WESTERN HUB,WESTERN HUB,,,62.91,52.78,58.00,88.00,70.00,50.00,75.90,12.00,50.00,65.03,42.00
"Pastoria Energy Facility, LLC",CAISO,natural_gas,active,779.00,34.955600,-118.844000,Kern,CA,NP15,NP15,,,70.16,56.28,57.15,95.62,72.61,50.00,92.34,12.00,50.00,84.58,56.22
Lower Mount Bethel Energy,PJM,natural_gas,active,651.60,40.801924,-75.107563,Northampton,PA,WESTERN HUB,WESTERN HUB,,,66.17,52.78,58.00,88.00,70.00,50.00,91.10,12.00,50.00,82.99,42.00
Bethlehem Power Plant,PJM,natural_gas,active,1153.00,40.617500,-75.314700,Northampton,PA,WESTERN HUB,WESTERN HUB,,,67.05,52.78,58.00,88.00,70.00,50.00,95.00,12.00,50.00,88.09,42.00
Hanford Energy Park Peaker,CAISO,natural_gas,active,92.20,36.270072,-119.648055,Kings,CA,NP15,NP15,,,66.69,56.28,57.15,95.62,72.61,50.00,76.18,12.00,50.00,65.49,56.22
Fremont Energy Center,PJM,natural_gas,active,739.50,41.377116,-83.161388,Sandusky,OH,WESTERN HUB,WESTERN HUB,,,66.38,52.78,58.00,88.00,70.00,50.00,92.06,12.00,50.00,84.12,42.00
Nacogdoches Power,ERCOT,biomass,active,114.00,31.832132,-94.900640,Nacogdoches,TX,HB_SOUTH,HB_SOUTH,,,69.65,51.81,77.55,97.27,63.75,50.00,77.41,83.87,50.00,67.38,40.77
Allegheny Energy Units 3 4 & 5,PJM,natural_gas,active,556.00,40.545278,-79.768611,Allegheny,PA,WESTERN HUB,WESTERN HUB,,,65.91,52.78,58.00,88.00,70.00,50.00,89.89,12.00,50.00,81.57,42.00
Mountain View I & II,CAISO,wind,active,70.90,33.921100,-116.564200,Riverside,CA,SP15,SP15,,,52.84,37.94,49.21,78.49,33.43,50.00,67.10,87.28,50.00,63.13,25.00
Hanging Rock Energy Facility,PJM,natural_gas,active,1429.80,38.573100,-82.783300,Lawrence,OH,WESTERN HUB,WESTERN HUB,,,67.20,52.78,58.00,88.00,70.00,50.00,95.00,12.00,50.00,90.02,42.00
Buchanan Generation LLC,PJM,natural_gas,active,88.00,37.175278,-81.961388,Buchanan,VA,WESTERN HUB,WESTERN HUB,,,62.92,52.78,58.00,88.00,70.00,50.00,75.93,12.00,50.00,65.07,42.00
NWP Indian Mesa Wind Farm,ERCOT,wind,active,82.50,30.931467,-102.201433,Pecos,TX,HB_WEST,HB_WEST,,,57.85,37.81,75.30,85.09,30.25,50.00,68.90,80.01,50.00,64.49,37.29
Los Esteros Critical Energy Center,CAISO,natural_gas,active,306.10,37.425000,-121.931900,Santa Clara,CA,NP15,NP15,,,68.64,56.28,57.15,95.62,72.61,50.00,85.27,12.00,50.00,76.22,56.22
Sonoma Central Landfill Phase I,CAISO,biomass,active,3.20,38.301700,-122.748900,Sonoma,CA,NP15,NP15,,,63.46,55.71,57.15,95.34,66.61,50.00,51.91,74.80,50.00,35.41,56.22
Sonoma Central Landfill Phase II,CAISO,biomass,active,3.20,38.301700,-122.748900,Sonoma,CA,NP15,NP15,,,63.46,55.71,57.15,95.34,66.61,50.00,51.91,74.80,50.00,35.41,56.22
Green Knight Energy Center,PJM,biomass,active,9.90,40.859200,-75.262700,Northampton,PA,WESTERN HUB,WESTERN HUB,,,59.18,52.25,58.00,76.00,62.00,50.00,60.17,75.51,50.00,45.52,42.00
Woodward Mountain II,ERCOT,wind,active,78.00,30.951400,-102.414067,Pecos,TX,HB_WEST,HB_WEST,,,57.75,37.81,75.30,85.09,30.25,50.00,68.48,79.74,50.00,63.99,37.29
Woodward Mountain I,ERCOT,wind,active,82.00,30.951400,-102.414067,Pecos,TX,HB_WEST,HB_WEST,,,57.84,37.81,75.30,85.09,30.25,50.00,68.85,79.98,50.00,64.44,37.29
Marcus Hook Energy LP,PJM,natural_gas,active,836.10,39.807038,-75.421606,Delaware,PA,WESTERN HUB,WESTERN HUB,,,66.58,52.78,58.00,88.00,70.00,50.00,92.99,12.00,50.00,85.22,42.00
Somerset Windpower LLC,PJM,wind,active,9.00,39.979167,-79.012778,Somerset,PA,WESTERN HUB,WESTERN HUB,,,54.86,43.28,58.00,70.00,58.00,50.00,53.33,72.83,50.00,44.66,42.00
Mill Run Windpower LLC,PJM,wind,active,15.00,39.913408,-79.393644,Somerset,PA,WESTERN HUB,WESTERN HUB,,,55.82,43.28,58.00,70.00,58.00,50.00,57.20,75.27,50.00,49.23,42.00
Henrietta Peaker,CAISO,natural_gas,active,98.00,36.239700,-119.904400,Kings,CA,NP15,NP15,,,66.79,56.28,57.15,95.62,72.61,50.00,76.64,12.00,50.00,66.03,56.22
Gilroy Peaking Energy Center,CAISO,natural_gas,active,144.00,36.999000,-121.536300,Santa Clara,CA,NP15,NP15,,,67.42,56.28,57.15,95.62,72.61,50.00,79.55,12.00,50.00,69.48,56.22
King City Peaking,CAISO,natural_gas,active,47.30,36.224758,-121.124633,Monterey,CA,NP15,NP15,,,65.61,56.28,57.15,95.62,72.61,50.00,71.12,12.00,50.00,59.51,56.22
Yuba City Energy Center,CAISO,natural_gas,active,47.30,39.139200,-121.638700,Sutter,CA,NP15,NP15,,,65.61,56.28,57.15,95.62,72.61,50.00,71.12,12.00,50.00,59.51,56.22
Feather River Energy Center,CAISO,natural_gas,active,47.00,39.109344,-121.609310,Sutter,CA,NP15,NP15,,,65.60,56.28,57.15,95.62,72.61,50.00,71.07,12.00,50.00,59.46,56.22
Valero Refinery Cogeneration Unit 1,CAISO,natural_gas,active,49.90,38.073600,-122.141100,Solano,CA,NP15,NP15,,,65.70,56.28,57.15,95.62,72.61,50.00,71.53,12.00,50.00,59.99,56.22
Wolfskill Energy Center,CAISO,natural_gas,active,48.00,38.228522,-122.075250,Solano,CA,NP15,NP15,,,65.63,56.28,57.15,95.62,72.61,50.00,71.23,12.00,50.00,59.64,56.22
Wellhead Power Panoche,CAISO,natural_gas,active,56.70,36.653500,-120.578300,Fresno,CA,NP15,NP15,,,65.90,56.28,57.15,95.62,72.61,50.00,72.49,12.00,50.00,61.13,56.22
Sonoma Central Landfill Phase III,CAISO,biomass,active,1.60,38.301700,-122.748900,Sonoma,CA,NP15,NP15,,,62.17,55.71,57.15,95.34,66.61,50.00,46.66,71.49,50.00,29.21,56.22
Tracy Combined Cycle Power Plant,CAISO,natural_gas,active,336.10,37.710700,-121.490600,San Joaquin,CA,NP15,NP15,,,68.79,56.28,57.15,95.62,72.61,50.00,85.97,12.00,50.00,77.06,56.22
Century Generating Facility,CAISO,natural_gas,active,44.80,34.060600,-117.353300,San Bernardino,CA,SP15,SP15,,,55.28,46.27,49.21,93.33,47.43,50.00,69.23,12.00,50.00,59.03,25.00
Drews Generating Facility,CAISO,natural_gas,active,44.80,34.060900,-117.353200,San Bernardino,CA,SP15,SP15,,,55.28,46.27,49.21,93.33,47.43,50.00,69.23,12.00,50.00,59.03,25.00
NRG Rockford II Energy Center,PJM,natural_gas,active,168.00,42.238300,-89.101100,Winnebago,IL,WESTERN HUB,WESTERN HUB,,,63.97,52.78,58.00,88.00,70.00,50.00,80.83,12.00,50.00,70.85,42.00
NAEA Ocean Peaking Power LLC,PJM,natural_gas,active,383.00,40.063300,-74.167200,Ocean,NJ,WESTERN HUB,WESTERN HUB,,,65.31,52.78,58.00,88.00,70.00,50.00,87.07,12.00,50.00,78.23,42.00
Warren County,PJM,natural_gas,active,1472.20,38.971667,-78.177222,Warren,VA,WESTERN HUB,WESTERN HUB,,,67.22,52.78,58.00,88.00,70.00,50.00,95.00,12.00,50.00,90.28,42.00
Elk Hills Cogen,CAISO,natural_gas,active,46.60,35.479146,-119.737464,Kern,CA,SP15,SP15,,,55.34,46.27,49.21,93.33,47.43,50.00,69.52,12.00,50.00,59.38,25.00
Agua Mansa Power Plant,CAISO,natural_gas,active,60.50,34.041400,-117.360300,San Bernardino,CA,SP15,SP15,,,55.76,46.27,49.21,93.33,47.43,50.00,71.50,12.00,50.00,61.71,25.00
Riverview Energy Center,CAISO,natural_gas,active,47.00,38.014423,-121.790679,Contra Costa,CA,NP15,NP15,,,65.60,56.28,57.15,95.62,72.61,50.00,71.07,12.00,50.00,59.46,56.22
Brown Station Road Plant II,PJM,biomass,active,4.00,38.847585,-76.785912,Prince Georges,MD,WESTERN HUB,WESTERN HUB,,,57.49,52.25,58.00,76.00,62.00,50.00,53.30,71.18,50.00,37.41,42.00
Trent Wind Farm,ERCOT,wind,active,152.00,32.430100,-100.235652,Nolan,TX,LZ_NORTH,LZ_NORTH,,,62.26,40.73,75.61,92.48,41.05,50.00,74.09,82.93,50.00,69.96,34.22
Hunterstown Power Plant,PJM,natural_gas,active,898.00,39.872500,-77.167200,Adams,PA,WESTERN HUB,WESTERN HUB,,,66.69,52.78,58.00,88.00,70.00,50.00,93.53,12.00,50.00,85.86,42.00
Palomar Energy,CAISO,natural_gas,active,559.00,33.119700,-117.117778,San Diego,CA,SP15,SP15,,,59.38,46.27,49.21,93.33,47.43,50.00,88.34,12.00,50.00,81.61,25.00
Mountaineer Wind Energy Center,PJM,wind,active,66.00,39.182800,-79.537200,Tucker,WV,WESTERN HUB,WESTERN HUB,,,58.58,43.28,58.00,70.00,58.00,50.00,68.42,82.35,50.00,62.49,42.00
Ashtabula,PJM,natural_gas,active,26.10,41.890026,-80.761200,Ashtabula,OH,WESTERN HUB,WESTERN HUB,,,60.94,52.78,58.00,88.00,70.00,50.00,66.72,12.00,50.00,54.19,42.00
Desert Sky,ERCOT,wind,active,167.70,30.917800,-102.086700,Pecos,TX,HB_WEST,HB_WEST,,,59.17,37.81,75.30,85.09,30.25,50.00,74.27,83.40,50.00,70.84,37.29
Orchard Park,PJM,natural_gas,active,24.00,39.910900,-77.666700,Franklin,PA,WESTERN HUB,WESTERN HUB,,,60.81,52.78,58.00,88.00,70.00,50.00,66.09,12.00,50.00,53.44,42.00
Waymart Wind,PJM,wind,active,64.50,41.553300,-75.454200,Wayne,PA,WESTERN HUB,WESTERN HUB,,,58.54,43.28,58.00,70.00,58.00,50.00,68.25,82.24,50.00,62.29,42.00
Cabazon Wind Partners,CAISO,wind,active,41.00,33.917200,-116.735000,Riverside,CA,SP15,SP15,,,51.82,37.94,49.21,78.49,33.43,50.00,62.95,84.66,50.00,58.23,25.00
Whitewater Hill Wind Partners,CAISO,wind,active,61.50,33.925000,-116.617778,Riverside,CA,SP15,SP15,,,52.58,37.94,49.21,78.49,33.43,50.00,66.02,86.60,50.00,61.86,25.00
Donald Von Raesfeld Power Plant,CAISO,natural_gas,active,154.00,37.376700,-121.950800,Santa Clara,CA,SP15,SP15,,,57.28,46.27,49.21,93.33,47.43,50.00,78.58,12.00,50.00,70.08,25.00
WWTP Power Generation Station,CAISO,biomass,active,6.60,37.825800,-122.296100,Alameda,CA,NP15,NP15,,,64.81,55.71,57.15,95.34,66.61,50.00,57.39,78.26,50.00,41.89,56.22
UMCP CHP Plant,PJM,natural_gas,active,27.40,38.985844,-76.935478,Prince Georges,MD,WESTERN HUB,WESTERN HUB,,,61.02,52.78,58.00,88.00,70.00,50.00,67.09,12.00,50.00,54.63,42.00
H. Gonzales,CAISO,natural_gas,active,11.80,33.998600,-118.221900,Los Angeles,CA,SP15,SP15,,,53.11,46.27,49.21,93.33,47.43,50.00,59.12,12.00,50.00,47.09,25.00
Malburg,CAISO,natural_gas,active,130.00,33.998600,-118.221900,Los Angeles,CA,SP15,SP15,,,57.01,46.27,49.21,93.33,47.43,50.00,77.30,12.00,50.00,68.56,25.00
Inner Harbor East Heating,PJM,natural_gas,active,2.10,39.283677,-76.599410,Baltimore City,MD,WESTERN HUB,WESTERN HUB,,,56.85,52.78,58.00,88.00,70.00,50.00,47.64,12.00,50.00,31.64,42.00
THUMS,CAISO,natural_gas,active,57.40,33.768400,-118.214100,Los Angeles,CA,SP15,SP15,,,55.68,46.27,49.21,93.33,47.43,50.00,71.10,12.00,50.00,61.24,25.00
"Meyersdale Windpower, LLC",PJM,wind,active,30.00,39.790739,-79.002047,Somerset,PA,WESTERN HUB,WESTERN HUB,,,57.11,43.28,58.00,70.00,58.00,50.00,62.45,78.59,50.00,55.44,42.00
High Winds LLC,CAISO,wind,active,162.00,38.138100,-121.805300,Solano,CA,NP15,NP15,,,66.31,46.15,57.15,91.90,58.61,50.00,74.84,91.23,50.00,70.53,56.22
SJ/SC WPCP,CAISO,biomass,active,14.00,37.434400,-121.946400,Santa Clara,CA,NP15,NP15,,,66.21,55.71,57.15,95.34,66.61,50.00,63.09,81.85,50.00,48.62,56.22
Blacksand Generating Facility,CAISO,natural_gas,active,8.00,33.932800,-117.855000,Orange,CA,SP15,SP15,,,52.48,46.27,49.21,93.33,47.43,50.00,56.18,12.00,50.00,43.61,25.00
Brazos Wind Farm,ERCOT,wind,active,182.40,32.947930,-101.147784,Scurry,TX,LZ_WEST,LZ_WEST,,,62.33,42.63,73.94,87.07,47.39,50.00,75.82,83.80,50.00,71.59,29.86
Mountain View III,CAISO,wind,active,22.40,33.914100,-116.591400,Riverside,CA,SP15,SP15,,,50.70,37.94,49.21,78.49,33.43,50.00,58.37,81.78,50.00,52.82,25.00
Middlesex County Utilities Authority,PJM,biomass,active,22.50,40.490300,-74.315600,Middlesex,NJ,WESTERN HUB,WESTERN HUB,,,60.71,52.25,58.00,76.00,62.00,50.00,66.39,79.43,50.00,52.86,42.00
Regional Wastewater Control Facility,CAISO,biomass,active,3.00,37.936900,-121.329400,San Joaquin,CA,NP15,NP15,,,63.34,55.71,57.15,95.34,66.61,50.00,51.42,74.49,50.00,34.83,56.22
Riverside Energy Resource Center,CAISO,natural_gas,active,196.00,33.963600,-117.452800,Riverside,CA,SP15,SP15,,,57.68,46.27,49.21,93.33,47.43,50.00,80.41,12.00,50.00,72.23,25.00
Springs Generating Station,CAISO,natural_gas,active,40.00,33.930800,-117.293300,Riverside,CA,SP15,SP15,,,55.09,46.27,49.21,93.33,47.43,50.00,68.37,12.00,50.00,58.01,25.00
Freeport Energy Center,ERCOT,natural_gas,active,260.00,28.988761,-95.395417,Brazoria,TX,LZ_CPS,LZ_CPS,,,65.51,54.89,62.81,98.00,69.05,50.00,83.49,12.00,50.00,74.76,25.00
"Mendota Hills, LLC",PJM,wind,active,76.20,41.719400,-89.049200,Lee,IL,WESTERN HUB,WESTERN HUB,,,58.85,43.28,58.00,70.00,58.00,50.00,69.51,83.04,50.00,63.78,42.00
