name,market,asset_type,status,capacity_mw,latitude,longitude,county,state,interconnection_node,pricing_hub_node,estimated_lcoe,offtake_price_mwh,overall_score,price_score,location_score,curtailment_score,interconnection_score,regulatory_score,financial_score,environmental_score,grid_stability_score,demand_proximity_score,development_risk_score
Reusens,PJM,hydro,active,12.50,37.463900,-79.185600,Campbell,VA,WESTERN HUB,WESTERN HUB,,,60.87,51.72,58.00,85.00,65.00,50.00,57.79,72.12,50.00,47.60,42.00
Smith Mountain,PJM,hydro,active,547.50,37.041300,-79.535600,Pittsylvania,VA,WESTERN HUB,WESTERN HUB,,,67.91,51.72,58.00,85.00,65.00,50.00,86.42,90.18,50.00,81.43,42.00
Luray Hydro Station,PJM,hydro,active,1.60,38.676667,-78.498888,Page,VA,WESTERN HUB,WESTERN HUB,,,57.04,51.72,58.00,85.00,65.00,50.00,42.22,62.30,50.00,29.21,42.00
Newport Hydro Station,PJM,hydro,active,1.40,38.571389,-78.593611,Page,VA,WESTERN HUB,WESTERN HUB,,,56.79,51.72,58.00,85.00,65.00,50.00,41.21,61.66,50.00,28.01,42.00
Chesterfield,PJM,natural_gas,active,446.60,37.382200,-77.383300,Chesterfield,VA,WESTERN HUB,WESTERN HUB,,,65.56,52.78,58.00,88.00,70.00,50.00,88.24,12.00,50.00,79.60,42.00
Cushaw,PJM,hydro,active,7.50,37.592887,-79.380823,Amherst,VA,WESTERN HUB,WESTERN HUB,,,59.92,51.72,58.00,85.00,65.00,50.00,53.92,69.68,50.00,43.03,42.00
Possum Point,PJM,natural_gas,active,613.00,38.536700,-77.280600,Prince William,VA,WESTERN HUB,WESTERN HUB,,,66.07,52.78,58.00,88.00,70.00,50.00,90.63,12.00,50.00,82.44,42.00
Surry,PJM,nuclear,active,1695.00,37.166100,-76.698600,Surry,VA,WESTERN HUB,WESTERN HUB,,,67.70,51.19,58.00,90.00,72.00,50.00,95.00,12.00,50.00,91.54,42.00
Snowden,PJM,hydro,active,5.00,37.573600,-79.371500,Bedford,VA,WESTERN HUB,WESTERN HUB,,,59.16,51.72,58.00,85.00,65.00,50.00,50.85,67.75,50.00,39.40,42.00
Pinnacles,PJM,hydro,active,11.80,36.666866,-80.447897,Patrick,VA,WESTERN HUB,WESTERN HUB,,,60.76,51.72,58.00,85.00,65.00,50.00,57.36,71.85,50.00,47.09,42.00
Martinsville,PJM,hydro,active,1.30,36.664145,-79.883588,Henry,VA,WESTERN HUB,WESTERN HUB,,,56.65,51.72,58.00,85.00,65.00,50.00,40.65,61.31,50.00,27.35,42.00
John H Kerr,PJM,hydro,active,296.80,36.599430,-78.300500,Mecklenburg,VA,WESTERN HUB,WESTERN HUB,,,66.77,51.72,58.00,85.00,65.00,50.00,81.78,87.25,50.00,75.95,42.00
Philpott Lake,PJM,hydro,active,14.00,36.780300,-80.028100,Henry,VA,WESTERN HUB,WESTERN HUB,,,61.08,51.72,58.00,85.00,65.00,50.00,58.65,72.66,50.00,48.62,42.00
Powerlane Plant,ERCOT,natural_gas,active,44.00,33.170700,-96.126400,Hunt,TX,LZ_CPS,LZ_CPS,,,62.63,54.89,62.81,98.00,69.05,50.00,70.03,12.00,50.00,58.87,25.00
Greenup Hydro,PJM,hydro,active,70.20,38.647200,-82.859400,Scioto,OH,WESTERN HUB,WESTERN HUB,,,64.09,51.72,58.00,85.00,65.00,50.00,70.86,80.37,50.00,63.05,42.00
Spencer,ERCOT,natural_gas,active,126.50,33.197500,-97.106100,Denton,TX,LZ_WEST,LZ_WEST,,,64.45,51.99,73.94,95.52,64.39,50.00,77.62,12.00,50.00,68.32,29.86
Thomas C Ferguson,ERCOT,natural_gas,active,574.60,30.558000,-98.372100,Llano,TX,LZ_SOUTH,LZ_SOUTH,,,69.44,52.54,76.30,97.39,66.90,50.00,89.17,12.00,50.00,81.86,44.14
Barney M Davis,ERCOT,natural_gas,active,1082.20,27.606400,-97.311700,Nueces,TX,LZ_AEN,LZ_AEN,,,68.98,54.94,61.81,98.00,68.85,50.00,94.30,12.00,50.00,87.53,37.85
Cumberland (NJ),PJM,natural_gas,active,231.20,39.375700,-74.965400,Cumberland,NJ,WESTERN HUB,WESTERN HUB,,,64.49,52.78,58.00,88.00,70.00,50.00,83.25,12.00,50.00,73.71,42.00
