name,market,asset_type,status,capacity_mw,latitude,longitude,county,state,interconnection_node,pricing_hub_node,estimated_lcoe,offtake_price_mwh,overall_score,price_score,location_score,curtailment_score,interconnection_score,regulatory_score,financial_score,environmental_score,grid_stability_score,demand_proximity_score,development_risk_score,commissioning_year
TPC Windfarms LLC (EXIS),CAISO,wind,active,28.7,35.05,-118.2572,Kern,CA,,,,,,,,,,,,,,,,1986
Schoolfield Dam (SCH1),PJM,hydro,active,1.5,36.576778,-79.432503,Pittsylvania,VA,,,,,,,,,,,,,,,,1990
Schoolfield Dam (SCH2),PJM,hydro,active,1.5,36.576778,-79.432503,Pittsylvania,VA,,,,,,,,,,,,,,,,1990
Schoolfield Dam (SCH3),PJM,hydro,active,1.5,36.576778,-79.432503,Pittsylvania,VA,,,,,,,,,,,,,,,,1990
Woodland Landfill Gas Recovery (GEN3),PJM,biomass,active,1.6,41.981004,-88.27452,Kane,IL,,,,,,,,,,,,,,,,2010
Woodland Landfill Gas Recovery (GEN4),PJM,biomass,active,1.6,41.981004,-88.27452,Kane,IL,,,,,,,,,,,,,,,,2010
Oyster Creek Unit VIII (G81),ERCOT,natural_gas,active,99.0,28.9802,-95.342,Brazoria,TX,,,,,,,,,,,,,,,,1994
Oyster Creek Unit VIII (G82),ERCOT,natural_gas,active,99.0,28.9802,-95.342,Brazoria,TX,,,,,,,,,,,,,,,,1994
Oyster Creek Unit VIII (G83),ERCOT,natural_gas,active,99.0,28.9802,-95.342,Brazoria,TX,,,,,,,,,,,,,,,,1994
Oyster Creek Unit VIII (G84),ERCOT,natural_gas,active,200.9,28.9802,-95.342,Brazoria,TX,,,,,,,,,,,,,,,,1994
Difwind Farms Ltd VI (EXIS),CAISO,wind,active,27.1,35.0506,-118.1714,Kern,CA,,,,,,,,,,,,,,,,1987
Wheelabrator Falls (WFI1),PJM,biomass,active,53.3,40.162633,-74.768164,Bucks,PA,,,,,,,,,,,,,,,,1994
Goal Line LP (CTG),CAISO,natural_gas,active,41.2,33.1185,-117.0995,San Diego,CA,,,,,,,,,,,,,,,,1994
Goal Line LP (STG),CAISO,natural_gas,active,10.2,33.1185,-117.0995,San Diego,CA,,,,,,,,,,,,,,,,1994
Coram Tehachapi (VW1),CAISO,wind,active,6.5,35.0663,-118.339444,Kern,CA,,,,,,,,,,,,,,,,1992
Live Oak Limited (GEN1),CAISO,natural_gas,active,46.0,35.4837,-119.0298,Kern,CA,,,,,,,,,,,,,,,,1992
Grays Ferry Cogeneration (GEN1),PJM,natural_gas,active,57.6,39.942219,-75.188069,Philadelphia,PA,,,,,,,,,,,,,,,,1997
Grays Ferry Cogeneration (GEN2),PJM,natural_gas,active,135.0,39.942219,-75.188069,Philadelphia,PA,,,,,,,,,,,,,,,,1997
CSL Behring LLC (GEN1),PJM,natural_gas,active,4.2,41.1603,-87.8542,Kankakee,IL,,,,,,,,,,,,,,,,1993
Domino Sugar Baltimore (GEN1),PJM,natural_gas,active,5.0,39.2744,-76.5956,Baltimore City,MD,,,,,,,,,,,,,,,,1959
Domino Sugar Baltimore (GEN2),PJM,natural_gas,active,2.5,39.2744,-76.5956,Baltimore City,MD,,,,,,,,,,,,,,,,1955
Domino Sugar Baltimore (GEN4),PJM,natural_gas,active,10.0,39.2744,-76.5956,Baltimore City,MD,,,,,,,,,,,,,,,,2001
Saint Agnes Medical Center (9911),CAISO,natural_gas,active,3.5,36.8347,-119.7667,Fresno,CA,,,,,,,,,,,,,,,,2001
Saint Agnes Medical Center (9929),CAISO,natural_gas,active,3.5,36.8347,-119.7667,Fresno,CA,,,,,,,,,,,,,,,,2001
Johnson County (GT-1),ERCOT,natural_gas,active,178.2,32.3994,-97.4078,Johnson,TX,,,,,,,,,,,,,,,,1996
Johnson County (ST-1),ERCOT,natural_gas,active,104.4,32.3994,-97.4078,Johnson,TX,,,,,,,,,,,,,,,,1996
Bristol Myers Squibb New Brunswick (GEN1),PJM,natural_gas,active,9.5,40.475724,-74.446199,Middlesex,NJ,,,,,,,,,,,,,,,,1992
Brandywine Power Facility (1),PJM,natural_gas,active,98.7,38.6681,-76.8678,Prince Georges,MD,,,,,,,,,,,,,,,,1996
Brandywine Power Facility (2),PJM,natural_gas,active,98.7,38.6681,-76.8678,Prince Georges,MD,,,,,,,,,,,,,,,,1996
Brandywine Power Facility (3),PJM,natural_gas,active,91.4,38.6681,-76.8678,Prince Georges,MD,,,,,,,,,,,,,,,,1996
Gordonsville Energy LP (GOR1),PJM,natural_gas,active,97.2,38.124688,-78.203543,Louisa,VA,,,,,,,,,,,,,,,,1994
Gordonsville Energy LP (GOR2),PJM,natural_gas,active,97.2,38.124688,-78.203543,Louisa,VA,,,,,,,,,,,,,,,,1994
Gordonsville Energy LP (GOR3),PJM,natural_gas,active,53.0,38.124688,-78.203543,Louisa,VA,,,,,,,,,,,,,,,,1994
Gordonsville Energy LP (GOR4),PJM,natural_gas,active,53.0,38.124688,-78.203543,Louisa,VA,,,,,,,,,,,,,,,,1994
Cox Waste to Energy (01),PJM,biomass,active,4.0,37.3208,-85.3611,Taylor,KY,,,,,,,,,,,,,,,,1995
Cox Waste to Energy (02),PJM,biomass,active,1.0,37.3208,-85.3611,Taylor,KY,,,,,,,,,,,,,,,,2002
Tehachapi Wind Resource II (EXI2),CAISO,wind,active,8.6,35.1061,-118.3114,Kern,CA,,,,,,,,,,,,,,,,2002
Tehachapi Wind Resource II (PLAN),CAISO,wind,active,11.2,35.1061,-118.3114,Kern,CA,,,,,,,,,,,,,,,,2025
Martinez Refining (GTG1),CAISO,natural_gas,active,40.0,38.0169,-122.1117,Contra Costa,CA,,,,,,,,,,,,,,,,1995
Martinez Refining (GTG2),CAISO,natural_gas,active,40.0,38.0169,-122.1117,Contra Costa,CA,,,,,,,,,,,,,,,,1996
Martinez Refining (STG1),CAISO,natural_gas,active,20.0,38.0169,-122.1117,Contra Costa,CA,,,,,,,,,,,,,,,,1995
Ridgetop (WGN1),CAISO,wind,active,46.8,35.074,-118.3153,Kern,CA,,,,,,,,,,,,,,,,1994
Mondelez Global LLC (GEN1),PJM,natural_gas,active,4.7,42.3156,-89.0356,Winnebago,IL,,,,,,,,,,,,,,,,1995
Richard J Donovan Correctional Facility (03),CAISO,natural_gas,active,2.6,32.583571,-116.930907,San Diego,CA,,,,,,,,,,,,,,,,1987
Big Spring Wind Power Facility (WIND),ERCOT,wind,active,34.3,32.2075,-101.388333,Howard,TX,,,,,,,,,,,,,,,,1998
Montgomery Creek Hydro (GEN1),CAISO,hydro,active,2.6,40.846806,-121.956446,Shasta,CA,,,,,,,,,,,,,,,,1987
Greene Valley Gas Recovery (GEN1),PJM,biomass,active,3.3,41.73379,-88.084908,DuPage,IL,,,,,,,,,,,,,,,,1996
Greene Valley Gas Recovery (GEN2),PJM,biomass,active,3.3,41.73379,-88.084908,DuPage,IL,,,,,,,,,,,,,,,,1996
Sweeny Cogen Facility (GEN1),ERCOT,natural_gas,active,143.0,29.0728,-95.745,Brazoria,TX,,,,,,,,,,,,,,,,1997
Sweeny Cogen Facility (GEN2),ERCOT,natural_gas,active,143.0,29.0728,-95.745,Brazoria,TX,,,,,,,,,,,,,,,,1997
Sweeny Cogen Facility (GEN3),ERCOT,natural_gas,active,143.0,29.0728,-95.745,Brazoria,TX,,,,,,,,,,,,,,,,1997
Sweeny Cogen Facility (GEN4),ERCOT,natural_gas,active,143.0,29.0728,-95.745,Brazoria,TX,,,,,,,,,,,,,,,,2000
Pasadena Cogeneration (CTG1),ERCOT,natural_gas,active,175.0,29.72475,-95.176479,Harris,TX,,,,,,,,,,,,,,,,1998
Pasadena Cogeneration (CTG2),ERCOT,natural_gas,active,185.0,29.72475,-95.176479,Harris,TX,,,,,,,,,,,,,,,,2000
Pasadena Cogeneration (CTG3),ERCOT,natural_gas,active,185.0,29.72475,-95.176479,Harris,TX,,,,,,,,,,,,,,,,2000
Pasadena Cogeneration (STG1),ERCOT,natural_gas,active,85.0,29.72475,-95.176479,Harris,TX,,,,,,,,,,,,,,,,1998
Pasadena Cogeneration (STG2),ERCOT,natural_gas,active,185.0,29.72475,-95.176479,Harris,TX,,,,,,,,,,,,,,,,2000
